INTR,160,Visualization I: Computer Imaging,3.00,,,TERMS-OFFERED,0
INTR,200,History of Modern Architecture and Interiors,3.00,,,TERMS-OFFERED,0
INTR,233,Interior Studio II,4.00,INTR232,,TERMS-OFFERED,0
INTR,245,Visualization IV: 3D Modeling,3.00,INTR241,,TERMS-OFFERED,0
INTR,351,Interior Lighting,3.00,INTR350,,TERMS-OFFERED,0
INTR,430,Commercial Design Studio,4.00,INTR331,,TERMS-OFFERED,0
INTR,451,Interior Systems,3.00,INTR350,INTR430,TERMS-OFFERED,0
INTR,493,Senior Project III,3.00,INTR492,,TERMS-OFFERED,0
INTR,723,Studio A Seminar,2.00,INTR232,INTR722,TERMS-OFFERED,0
INTR,752,Graduate Studio D,4.00,INTR742,INTR753,TERMS-OFFERED,0
INTR,799,ST: Sustainable Built Env I,1.00 to 4.00,,,TERMS-OFFERED,0
INTR,865,Interior Systems II,3.00,INTR862,,TERMS-OFFERED,0
INTR,898,Thesis - Documentation,3.00,INTR897,,TERMS-OFFERED,0
INTR,211,Textiles for Interiors,3.00,,,TERMS-OFFERED,0
INTR,410,Collaborative Research in Sustainability,3.00,ARCH320,,TERMS-OFFERED,0
INTR,465,ST:BioDesign,1.00 to 12.00,,,TERMS-OFFERED,0
INTR,861,Advanced Visual Methods,3.00,,,TERMS-OFFERED,0
INTR,899,Comp Exam for Interior Design,,,,TERMS-OFFERED,0
